"Periodos","IGAE"
"1993/01","60.407690861162"
"1993/02","61.022521057869"
"1993/03","63.943249355824"
"1993/04","61.865983962549"
"1993/05","63.612899726776"
"1993/06","62.882587375016"
"1993/07","62.797953358587"
"1993/08","62.027886308836"
"1993/09","62.018336865761"
"1993/10","62.834801117738"
"1993/11","63.621770900825"
"1993/12","66.121192673834"
"1994/01","63.029268095766"
"1994/02","62.733155894037"
"1994/03","65.790274574629"
"1994/04","65.891716106078"
"1994/05","66.858802302994"
"1994/06","66.635790909241"
"1994/07","64.702062240958"
"1994/08","65.796343457442"
"1994/09","65.764774478716"
"1994/10","66.73068480805"
"1994/11","67.846874034662"
"1994/12","68.067440380391"
"1995/01","65.102336102944"
"1995/02","60.294189688161"
"1995/03","62.929865280834"
"1995/04","59.239087096663"
"1995/05","61.176774402078"
"1995/06","61.082341574876"
"1995/07","59.779169617491"
"1995/08","61.068204275458"
"1995/09","60.847719883732"
"1995/10","60.218243293574"
"1995/11","63.060199301255"
"1995/12","65.413458923287"
"1996/01","64.597359116206"
"1996/02","63.250333664147"
"1996/03","65.004354420503"
"1996/04","63.822019900421"
"1996/05","66.568958908285"
"1996/06","65.578166723363"
"1996/07","65.912230711541"
"1996/08","65.364573394478"
"1996/09","65.037744934749"
"1996/10","67.824639329719"
"1996/11","68.559041557676"
"1996/12","69.268451040487"
"1997/01","67.922264039736"
"1997/02","66.01571884313"
"1997/03","67.088713649967"
"1997/04","70.189387463536"
"1997/05","71.253631607775"
"1997/06","70.717574423432"
"1997/07","70.483901446494"
"1997/08","70.028450544462"
"1997/09","70.751584764302"
"1997/10","73.237278553938"
"1997/11","72.757892489212"
"1997/12","73.78043868238"
"1998/01","72.281250247283"
"1998/02","71.267639821209"
"1998/03","75.307512959447"
"1998/04","72.952375667881"
"1998/05","75.138015068391"
"1998/06","74.645187390275"
"1998/07","74.614461875991"
"1998/08","73.479249796728"
"1998/09","73.767317129193"
"1998/10","74.464179871495"
"1998/11","74.443440227135"
"1998/12","75.677351821579"
"1999/01","74.283806958342"
"1999/02","72.709401588669"
"1999/03","76.99210854539"
"1999/04","74.329227476143"
"1999/05","76.92304154259"
"1999/06","76.556745136087"
"1999/07","76.312624841271"
"1999/08","75.670013785371"
"1999/09","76.247752679897"
"1999/10","76.454654399604"
"1999/11","77.670131994762"
"1999/12","78.053468436791"
"2000/01","77.93002889314"
"2000/02","77.367316137775"
"2000/03","80.357950135555"
"2000/04","77.007563818458"
"2000/05","82.343305127182"
"2000/06","81.54154491604"
"2000/07","79.62972558297"
"2000/08","81.1907409729"
"2000/09","80.164872553761"
"2000/10","80.809584401517"
"2000/11","80.916185698952"
"2000/12","79.498301392616"
"2001/01","79.423458002647"
"2001/02","76.419257967789"
"2001/03","80.767873946488"
"2001/04","77.531154682458"
"2001/05","81.784088616299"
"2001/06","80.607007627411"
"2001/07","79.325312930013"
"2001/08","80.587032097896"
"2001/09","78.269573039095"
"2001/10","79.97355161929"
"2001/11","80.093899283277"
"2001/12","79.092469056349"
"2002/01","77.386285060061"
"2002/02","75.109315347893"
"2002/03","77.122272447312"
"2002/04","80.830235108808"
"2002/05","82.069941878485"
"2002/06","79.721270204187"
"2002/07","79.927183686742"
"2002/08","80.305760518024"
"2002/09","78.380179640558"
"2002/10","81.607738606865"
"2002/11","80.095182105013"
"2002/12","80.490506762487"
"2003/01","79.272388857518"
"2003/02","77.175505220167"
"2003/03","80.339755457114"
"2003/04","79.950928497677"
"2003/05","82.28841851481"
"2003/06","81.443369823193"
"2003/07","80.935701162947"
"2003/08","79.419952230781"
"2003/09","79.188780153898"
"2003/10","81.87910944479"
"2003/11","80.634513291343"
"2003/12","83.330369770123"
"2004/01","80.93006639786"
"2004/02","79.19382209177"
"2004/03","84.927848565872"
"2004/04","82.93622509361"
"2004/05","85.239049563154"
"2004/06","85.620872535405"
"2004/07","82.940233930486"
"2004/08","83.132439761494"
"2004/09","82.197508538192"
"2004/10","84.362684830409"
"2004/11","85.941539719987"
"2004/12","86.230567228327"
"2005/01","82.258370210544"
"2005/02","80.899420200578"
"2005/03","83.626395431456"
"2005/04","86.593728439857"
"2005/05","87.888891145222"
"2005/06","86.352087420045"
"2005/07","83.78419976673"
"2005/08","86.431199132471"
"2005/09","84.642559558642"
"2005/10","86.853103383121"
"2005/11","88.657324723407"
"2005/12","89.151098184592"
"2006/01","87.04556095795"
"2006/02","84.082966047851"
"2006/03","89.540081311535"
"2006/04","87.102501089573"
"2006/05","93.139352986047"
"2006/06","91.368641640887"
"2006/07","88.358893664655"
"2006/08","90.246185493004"
"2006/09","87.869097530924"
"2006/10","91.597487402362"
"2006/11","91.145198984264"
"2006/12","90.861380983988"
"2007/01","88.777286665678"
"2007/02","85.768279134806"
"2007/03","91.422051906266"
"2007/04","89.320626653631"
"2007/05","94.322367498731"
"2007/06","93.534598779502"
"2007/07","91.411022022079"
"2007/08","92.21732727246"
"2007/09","89.475178695779"
"2007/10","95.279990220383"
"2007/11","93.80925932597"
"2007/12","92.457198599429"
"2008/01","90.954347506728"
"2008/02","88.989333067691"
"2008/03","89.053256431849"
"2008/04","94.715327756871"
"2008/05","94.8643574092"
"2008/06","94.455882672838"
"2008/07","94.159307137968"
"2008/08","91.493092649391"
"2008/09","90.576509201354"
"2008/10","95.506832579141"
"2008/11","92.042699474466"
"2008/12","91.89505460221"
"2009/01","84.895876722304"
"2009/02","81.84098455152"
"2009/03","86.873551879255"
"2009/04","84.310667731198"
"2009/05","86.081589360177"
"2009/06","88.184264557034"
"2009/07","88.731692471126"
"2009/08","86.553603630868"
"2009/09","86.503779623488"
"2009/10","91.120572575033"
"2009/11","91.249102185672"
"2009/12","91.856302140255"
"2010/01","86.867019685828"
"2010/02","85.227164706932"
"2010/03","92.292285170746"
"2010/04","90.581817731741"
"2010/05","92.300048420333"
"2010/06","93.231048047449"
"2010/07","92.328688050141"
"2010/08","91.562193434452"
"2010/09","90.556527893174"
"2010/10","93.84529559026"
"2010/11","95.969331698257"
"2010/12","95.595925071639"
"2011/01","90.205461355682"
"2011/02","88.568750078284"
"2011/03","95.828988285473"
"2011/04","91.600051155669"
"2011/05","95.94630642031"
"2011/06","96.488306761506"
"2011/07","95.217922955059"
"2011/08","96.539027017178"
"2011/09","94.102107189151"
"2011/10","97.437706088923"
"2011/11","101.08274514182"
"2011/12","98.815744081429"
"2012/01","94.674626504313"
"2012/02","94.079032062107"
"2012/03","99.092219137024"
"2012/04","95.479315081885"
"2012/05","100.3152480798"
"2012/06","99.686840814913"
"2012/07","99.310906554814"
"2012/08","99.09917365248"
"2012/09","95.189244376153"
"2012/10","101.8599124002"
"2012/11","104.38649108415"
"2012/12","100.52817081533"
"2013/01","97.96858180309"
"2013/02","94.671014271397"
"2013/03","97.060798049012"
"2013/04","99.916230201395"
"2013/05","102.27529217277"
"2013/06","99.517546002767"
"2013/07","100.80982496998"
"2013/08","100.27356949409"
"2013/09","96.806745605288"
"2013/10","103.66718611005"
"2013/11","104.23165049058"
"2013/12","102.80156082956"
"2014/01","98.755110572573"
"2014/02","96.956515963905"
"2014/03","101.49479885219"
"2014/04","100.31851786041"
"2014/05","104.86079900217"
"2014/06","102.89400826087"
"2014/07","104.13868175944"
"2014/08","101.73624744498"
"2014/09","100.01551056149"
"2014/10","106.81111635547"
"2014/11","106.47992148668"
"2014/12","106.88143719012"
"2015/01","102.31986444389"
"2015/02","99.870659767381"
"2015/03","104.96627848479"
"2015/04","103.68803167488"
"2015/05","106.19804523159"
"2015/06","107.31716010937"
"2015/07","107.46010046612"
"2015/08","105.48267392402"
"2015/09","105.02279533546"
"2015/10","109.29445053708"
"2015/11","109.09889472711"
"2015/12","109.26269276629"
"2016/01","104.41851755205"
"2016/02","104.57966363153"
"2016/03","105.90790239129"
"2016/04","107.29225906305"
"2016/05","109.06204874192"
"2016/06","109.96126200002"
"2016/07","107.52475665432"
"2016/08","108.94850963781"
"2016/09","106.06104251905"
"2016/10","110.56497439763"
"2016/11","114.14644982427"
"2016/12","112.51081611954"
"2017/01","108.4202971129"
"2017/02","105.28461256644"
"2017/03","111.90537293791"
"2017/04","106.20384575635"
"2017/05","112.30423198638"
"2017/06","112.7985031693"
"2017/07","108.95560967743"
